日本頻道,#genre#
AnimeTV,https://stmv1.srvif.com/animetv/animetv/playlist.m3u8
QVC Japan,http://cdn-live1.qvc.jp/iPhone/800/800.m3u8
Shop Channel,http://stream1.shopch.jp/HLS/out1/prog_index.m3u8
Shop Channel,http://stream1.shopch.jp/HLS/out2/prog_index.m3u8
Shop Channel,http://stream1.shopch.jp/HLS/out3/prog_index.m3u8
Shop Channel,http://stream1.shopch.jp/HLS/out4/prog_index.m3u8
Sofy TV,https://sofy-ger-samsung.amagi.tv/playlist.m3u8
聲優廣播,http://www.uniqueradio.jp/agplayerf/hls/Active.m3u8
Animax Japan (Indonesian Subs),http://210.210.155.35/dr9445/h/h02/01.m3u8
Japanet Channel DX,https://bcsecurelivehls-i.akamaihd.net/hls/live/265320/5043843989001/140130JTDX/index.m3u8
韓國頻道,#genre#
Arirang 阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/.m3u8
Arirang 阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang 阿里郎,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
Arirang 阿里郎,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang 阿里郎,http://amdlive-ch01.ctnd.com.edgesuite.net:80/arirang_1ch/smil:arirang_1ch.smil/chunklist_b2256000_sleng.m3u8
Arirang 阿里郎,http://amdlive-ch02.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang 阿里郎,http://amdlive-ch03.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang 阿里郎,http://cdn-01.bonus-tv.ru:8080/arirang_edge/index.m3u8
Arirang 阿里郎,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
Arirang 阿里郎,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b656000_sleng.m3u8
Arirang 阿里郎3,http://amdlive.ctnd.com.edgesuite.net/arirang_3ch/smil:arirang_3ch.smil/.m3u8
BBS 佛教廣播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist.m3u8
BBS 佛教廣播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1216149699.m3u8
BBS 佛教廣播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
BBS 佛教廣播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/playlist.m3u8
CJ OnStyle Plus,https://live-ch2.cjonstyle.net/cjosplus/live2/playlist.m3u8
CJ OnStyle,https://live-ch1.cjonstyle.net/cjmalllive/stream2/playlist.m3u8
CTS기독교TV,https://d34t5yjz1ooymj.cloudfront.net/out/v1/875039d5eba0478fa8375a06b3aa5a37/index.m3u8
EBS +1,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
EBS +2,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
EBS 1,http://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
EBS 1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8
EBS 1,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
EBS 2,http://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
EBS 2,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
EBS E,http://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
EBS E,http://ebsonairios.ebs.co.kr/plus3tablet500k/tablet500k/plus3tablet500k.index.m3u8
EBS 兒童頻道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
EBS 兒童頻道,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
GS Shop,https://gstv-gsshop.gsshop.com/gsshop_hd/gsshop_hd.stream/playlist.m3u8
Gugak TV 國樂放送,http://mgugaklive.nowcdn.co.kr/gugakvideo/gugakvideo.stream/playlist.m3u8
KBC 광주방송 (SBS 光州),http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8
KCTV CH05 광주,http://119.77.96.184:1935/chn05/chn05/chunklist.m3u8
KCTV CH05 광주,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
KCTV CH05 광주,http://119.77.96.184:1935/chn05/chn05/chunklist_w1306745753.m3u8
KBS WORLD,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8
KBS WORLD,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/master.m3u8
KBS WORLD,https://kbsworld-ott.akamaized.net:443/hls/live/2002341/kbsworld/01.m3u8
Kix (印尼字幕),http://210.210.155.37/dr9445/h/h07/index.m3u8
Korea TV,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8
KShopping,https://fhs8036.bd-61.ktcdn.co.kr/klive/smil:klive.smil/playlist.m3u8
MBC 大田,https://ns1.tjmbc.co.kr/live/myStream.sdp/playlist.m3u8
MBC 大邱,https://5ee1ec6f32118.streamlock.net/live/livetv/playlist.m3u8
MBC 釜山,http://stream.bsmbc.com/livetv/BusanMBC_TV_onairstream/playlist.m3u8
MBC 綜藝頻道,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
MBC 慶南 昌原本部,https://624a79c87201d.streamlock.net/MBCTV/TV1.stream/playlist.m3u8
MBC 濟州,https://wowza.jejumbc.com/live/tv_jejumbc/playlist.m3u8
MBC 麗水,https://5c3639aa99149.streamlock.net/live_TV/tv/playlist.m3u8
MBC,http://123.254.72.24:1935/tvlive/livestream2/playlist.m3u8
MTN,http://183.110.27.87/mtnlive/_definst_/720/chunklist.m3u8
MTN,http://183.110.27.87/mtnlive/720/playlist.m3u8
NBS 韓國農業廣播,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
NBS 韓國農業廣播,https://media.joycorp.co.kr:4443/live/ngrp:live_all/playlist.m3u8
SBS 清州放送,http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8
SBS 清州放送,http://1.222.207.80:1935/live/cjbtv/playlist.m3u8
TBS Seoul,https://cdntv.tbs.seoul.kr/tbs/tbs_tv_web.smil/playlist.m3u8
TJB 대전방송 (SBS 大田),http://1.245.74.5:1935/live/tv/.m3u8
TJBI SBS,http://1.245.74.5:1935/live/tv/chunklist_w1082057117.m3u8
tvN Asia (印尼字幕),http://210.210.155.37/dr9445/h/h20/index.m3u8
tvN,http://210.210.155.35:80/dr9445/h/h20/02.m3u8
국방國防TV,http://mediaworks.dema.mil.kr:1935/live_edge/cudo.sdp/playlist.m3u8
小本生意,http://139.150.248.29:1935/smartlive/558/91258ac21591769e21f41b96f26d883e/playlist.m3u8
韓國新聞,http://183.110.27.87/mtnlive/definst/720/chunklist.m3u8
韓國新聞,http://moneytoday1.ktcdn.co.kr:1935/mtnlive/720/playlist.m3u8
韓國職業廣播,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
Asia N,http://pull-l3-cny.douyincdn.com/live/2ce10c5078ec753f8f50f4c3897e8f76.m3u8
Channel China,http://pull-l3-cny.douyincdn.com/live/05fadffbceabeb97bbf09061a165791b.m3u8
Channel Seezn,http://pull-l3-cny.douyincdn.com/live/9dbd2556b180db11b62283739297981b.m3u8
KBS1 HD,http://pull-l3-cny.douyincdn.com/live/da1f0d9f19a7ad52a9675a58e08de24b.m3u8
KBS2 HD,http://pull-l3-cny.douyincdn.com/live/9accc1d4ae7e4bfa7350249c05a0e3af.m3u8
MBC HD,http://pull-l3-cny.douyincdn.com/live/4f444d2b71e8fbab0a8802b9fa23ea5b.m3u8
PLAYY액션영화,http://pull-l3-cny.douyincdn.com/live/41f29bf461ffa99e595f70b9593c61aa.m3u8
PLAYY액션영화,http://mytv.dothome.co.kr/ch/catv/233.php
PLAYY웰메이드,http://pull-l3-cny.douyincdn.com/live/eac374df3c06e8985d587224a056f483.m3u8
PLAYY힐링영화,http://pull-l3-cny.douyincdn.com/live/ea6907626f7d64aa61e5ebf88180e43d.m3u8
PLAYY힐링영화,http://mytv.dothome.co.kr/ch/catv/287.php
SBS HD,http://pull-l3-cny.douyincdn.com/live/d10b659225b3738937372b8835b94f1c.m3u8
THE MOVIE,http://pull-l3-cny.douyincdn.com/live/adb7cf254b46d42d58828f590a6137bf.m3u8
THE MOVIE,http://mytv.dothome.co.kr/ch/catv/232.php
ANIMAX,http://mytv.dothome.co.kr/ch/catv/322.php
ANIONE,http://mytv.dothome.co.kr/ch/catv/230.php
ANIPLUS,http://mytv.dothome.co.kr/ch/catv/323.php
AsiaN,http://mytv.dothome.co.kr/ch/catv/235.php
BilliardsTV,http://mytv.dothome.co.kr/ch/catv/252.php
CH 핑크퐁,http://mytv.dothome.co.kr/ch/catv/263.php
CHANNEL A,http://mytv.dothome.co.kr/ch/catv/212.php
CHANNEL A,http://mytv.dothome.co.kr/ch/catv/52.php
CHANNEL CHINA,http://mytv.dothome.co.kr/ch/catv/229.php
CH시네마천국,http://mytv.dothome.co.kr/ch/catv/231.php
CJONSTYLE,http://mytv.dothome.co.kr/ch/catv/91.php
CJONSTYLE+,http://mytv.dothome.co.kr/ch/catv/92.php
Discovery Original,http://mytv.dothome.co.kr/ch/catv/285.php
DREAMWORKS,http://mytv.dothome.co.kr/ch/catv/266.php
ENA ORIGINAL,http://mytv.dothome.co.kr/ch/catv/227.php
IB SPORTS,http://mytv.dothome.co.kr/ch/catv/253.php
iHQ drama,http://mytv.dothome.co.kr/ch/catv/256.php
jtbc GOLF&SPORTS,http://mytv.dothome.co.kr/ch/catv/249.php
jtbc GOLF,http://mytv.dothome.co.kr/ch/catv/248.php
JTBC,http://mytv.dothome.co.kr/ch/catv/211.php
JTBC,http://mytv.dothome.co.kr/ch/catv/51.php
jtbc2,http://mytv.dothome.co.kr/ch/catv/282.php
KBSN SPORT,http://mytv.dothome.co.kr/ch/catv/243.php
KSTAR 바둑 ,http://mytv.dothome.co.kr/ch/catv/257.php
MBC SPORT+,http://mytv.dothome.co.kr/ch/catv/242.php
MBN,http://mytv.dothome.co.kr/ch/catv/214.php
MBN,http://mytv.dothome.co.kr/ch/catv/54.php
Mnet,http://mytv.dothome.co.kr/ch/catv/224.php
OBS,http://mytv.dothome.co.kr/ch/catv/281.php
OCN,http://mytv.dothome.co.kr/ch/catv/234.php
OLiFE,http://mytv.dothome.co.kr/ch/catv/254.php
PBA&GOLF,http://mytv.dothome.co.kr/ch/catv/250.php
PLAYY웰메이드 영화,http://mytv.dothome.co.kr/ch/catv/288.php
PLAYY프리미엄 영화,http://mytv.dothome.co.kr/ch/catv/286.php
RedBull,http://mytv.dothome.co.kr/ch/catv/61.php
SBS FiL,http://mytv.dothome.co.kr/ch/catv/284.php
SBS GOLF,http://mytv.dothome.co.kr/ch/catv/247.php
SBS SPORT,http://mytv.dothome.co.kr/ch/catv/241.php
SilveriTV,http://mytv.dothome.co.kr/ch/catv/57.php
SKY SPORTS,http://mytv.dothome.co.kr/ch/catv/246.php
SPOTV,http://mytv.dothome.co.kr/ch/catv/244.php
SPOTV2,http://mytv.dothome.co.kr/ch/catv/245.php
TELE NOVELA,http://mytv.dothome.co.kr/ch/catv/289.php
TV CHOSUN,http://mytv.dothome.co.kr/ch/catv/213.php
TV CHOSUN,http://mytv.dothome.co.kr/ch/catv/53.php
tvN Movies,http://210.210.155.35:80/dr9445/h/h21/02.m3u8
tvN DRAMA,http://mytv.dothome.co.kr/ch/catv/226.php
YTN와이티엔,http://mytv.dothome.co.kr/ch/catv/215.php
YTN와이티엔,http://mytv.dothome.co.kr/ch/catv/261.php
中華TV,http://mytv.dothome.co.kr/ch/catv/228.php
妙米學堂,http://mytv.dothome.co.kr/ch/catv/324.php
